date,time,Annotated tweet,Class,Your class label
10/16/2012,09:38:08-05:00,Insidious! Mitt Romney 's Bain Helped Philip Morris Get U.S. High Schoolers  Hooked On Cigarettes  http://t.co/nMKuFcUq via @HuffPostPol,-1,
10/16/2012,10:22:34-05:00,Senior  Romney  Advisor Claims  Obama  Administration Is Deliberately  Misleading Public On Libya : http://t.co/cpJjGsCF tp #US,2,
10/16/2012,10:14:18-05:00,.@WardBrenda @shortwave8669 @allanbourdius you mean like  romney   cheated in primary ?,-1,
10/16/2012,09:27:16-05:00, Mitt Romney  still doesn't  believe  that we  have a black president .,-1,
10/16/2012,10:11:43-05:00, Romney 's  tax plan  deserves a 2nd look because he has a secret one that's different than the one  he's been lying about http://t.co/arvfPQ7W,-1,
10/16/2012,10:13:17-05:00,Hope  Romney  debate prepped w/ the same people as last time.,1,
10/16/2012,10:17:28-05:00,Want to know how  Mitt Romney  is going to be able to  cut by $5 trillon dollars ? Go here it explains everything: http://t.co/t8jYT5RH,-1,
10/16/2012,09:35:55-05:00,"If  Romney  wins the  presidential election , the  worlds really ending this year. ",-1,
10/16/2012,09:33:07-05:00,"Presidential debate round 2:  Romney  wants a repeat,  Obama  a reversal http://t.co/ode4bA1q",2,
10/16/2012,09:40:14-05:00,Someone on the  mitt Romney   Facebook page  said president bush kept us safe... Uhh since when,-1,
10/16/2012,10:28:50-05:00, Romney 's  12 million jobs scam  reminds me of Rip Torn selling pennies in the movies. Sick puppy. http://t.co/kFaosHrM,-1,
10/16/2012,10:11:00-05:00,"@LoreleiMission ""girl look at that body x 3 Thanks to  Mitt  ""     Sexy and I know it (republican version)  :D",1,
10/16/2012,10:21:31-05:00," Mitt #Romney   said  that   catching Osama bin Laden  would be ""insignificant"" and it's ""not worth moving heaven and earth."" http://t.co/oid9jiTK",-1,
10/16/2012,10:26:34-05:00,Please be  Mitt Romney  ì@HuffingtonPost: Who is Honey Boo Boo endorsing for president? (VIDEO) http://t.co/ThwnfDABî,0,
10/16/2012,09:51:35-05:00," Romney  leads  Obama  on economy, jobs, deficit,  poll  finds: A new poll shows that the economy, budget... http://t.co/M0Z1AsPM #Atlanta #GA",2,
10/16/2012,10:16:13-05:00,# Romney  is disappointed when states allow  same-sex marriage  http://t.co/TFfzsxD3,-1,
10/16/2012,10:22:47-05:00,If women that the Polls show are truly voting for  Romney ? Then I don't want to know how they truly take care of their household's.,0,
10/16/2012,09:03:00-05:00,"@politicswnation When it comes 2 his  $5 trillion tax plan , don't let  Mitt Romney  give u the runaround. Details matter: http://t.co/ZCChMCUw",-1,
10/16/2012,10:00:41-05:00, Romney  can go eff himself n so can Obama! #ihatewritingpapers,2,
10/16/2012,10:16:23-05:00,"Tony Corleone, Tony Soprano &amp; Tony  ""Mitt"" Romney ?- Tomato, Tomato, Tooommmaaattooooo! WATCH via @politicususa http://t.co/SYsfmZFR",0,
10/16/2012,09:02:19-05:00,MT @LOLGOP | REMINDER:  Mitt Romney  isn't   changing positions . He's refusing to admit the positions he has.,-1,
10/16/2012,10:03:26-05:00,"ppl know  Romney  is  a liar, he hides his taxes, makes false accusations, agnst women rights , yet they buy into it, cant bleive,makesnosense-1",-1,
10/16/2012,09:28:16-05:00,"@MelianDialogue @eimajuno ""I am not voting for  Romney , I am voting against  Obama ""... So... He is voting for Romney.",1,
10/16/2012,09:38:36-05:00,Good luck  @MittRomney  tonight. I have already voted for you. Nothing Obama says could change my mind  I see what he has done. Actions speak!,1,
10/16/2012,10:16:45-05:00, Mitt Romney    is  seriously thick. Listen to him for 5 minutes. I fear for the world.,-1,
10/16/2012,09:42:27-05:00,The debate tonight is going to be pointless we all know  Romney  will win the  debate  once again,1,
10/16/2012,10:20:18-05:00,Democrats Launch Ingenious New Site To Attack  Romney 's Tax Plan http://t.co/nZz7dZSI Brilliant. #p2 #tlot #tcot,-1,
10/16/2012,09:56:05-05:00,Ha! Damn autocorrect...either that or  Mitt Romney  hijacked your account. ì@jamesotto: Mormon yallî,-1,
10/16/2012,09:53:14-05:00," Mitt Romney  always  worshiped his father . This must hurt, at least a little. http://t.co/vrGgUg9b",0,
10/16/2012,10:26:25-05:00,"Hope the  debate  goes as well for  Romney  tonight as it did the first time around. But, with hair like that, how could it not?? @Mollaysia",1,
10/16/2012,09:47:52-05:00,Fuck  mitt romney  * Rick Ross voice *,-1,
10/16/2012,10:20:55-05:00, romney  can kiss my ass,-1,
10/16/2012,09:03:37-05:00,If  Romney  CRUSHES  Obama  #BHO in tonight's debate he wins the election &amp; Liberty prosperity has a chance. If not he loses &amp; it's FINISHED!,2,
10/16/2012,10:09:45-05:00,Yet Another CEO Asks Employees to Vote  Romney  for: *Yet Another CEO Asks Employees to Vote  Romney  for Sake of th... http://t.co/fnBL5xHk,-1,
10/16/2012,09:05:46-05:00,Ross Perot  endorses   Romney ....Didn't realize he was still alive...but either way.. Obama  is FALLING..FAST,2,
10/16/2012,09:24:59-05:00, Radio Ad   mitt Romney  completely wrong: http://t.co/Ras3gBr8 via @youtube,-1,
10/16/2012,10:21:32-05:00,Why all are the democrats trying to disprove all of  Romney 's  plans  when they know nothing about the economy?,1,
10/16/2012,09:53:47-05:00,A detailed explanation of how the  Romney -Ryan  tax plan  is able to cut taxes by $5 trillion: http://t.co/ZVYBbPbx /via @lensco,1,
10/16/2012,09:41:41-05:00,"If you're a woman voting for  Romney , you either have a penis, an IQ of 5, or are close minded as hell #responsestoMonicaCrowley",-1,
10/16/2012,09:33:10-05:00,"good one #DNC ... but more importantly,  Romney  didn't  think to snatch up this domain ? http://t.co/RIILzApO @LOLGOP",-1,
10/16/2012,09:34:38-05:00,"# Romney   created new fees, doubled court filing fees, professional regulations, marriage license, &amp; firearm licenses ",-1,
10/16/2012,09:40:49-05:00,Wow.  Romney  is  doing a Sottocopy from Friday Night Lights .,-1,
10/16/2012,09:10:48-05:00,"If I were the Yankees I'd send Arod to debate  Romney  &amp; start  Barack Obama  at 3rd base. Hey, it's not like either of them can get any worse.",0,
10/16/2012,09:48:01-05:00,Idiotic. Can we stop w/the Daddy BS? RT @DavidCornDC Is  Romney  a step-dad? He cares about you because he has no choice? http://t.co/SNirZDLo,-1,
10/16/2012,09:27:23-05:00,Ross Perot endorses  Mitt Romney : Billionaire former presidential candidate H. Ross Perot announced his support o... http://t.co/6ILenMao,1,
10/16/2012,09:51:58-05:00,If BO comes out 'fighting'  Mitt  will simply take advantage of the obvious pressure on the president,1,
10/16/2012,09:58:23-05:00, Romney  isn't clueless. He's evil.,-1,
10/16/2012,09:35:48-05:00,@KarlRove WHY has  Romney  NOT brought up the fact that Obama: (1) appointed a comm. as a czar (2) Pres. medal of freedom to Socialist huarta,2,
10/16/2012,09:01:08-05:00,@daveweigel  Romney  could his make his second fortune in teaching other people how to  lie  as effortlessly as he does.,-1,
10/16/2012,10:27:46-05:00,"I HOPE  ROMNEY  DEMANDS ALL THE ""FAST AND FURIOUS"" DOCUMENTS TONIGHT AT THE DEBATE!",1,
10/16/2012,09:18:20-05:00,SHOCKER -  Romney   jobs plan  revealed to be flim-flam http://t.co/ZWS9XPc6 #p2 #p2b #democrat #Hofstra @collegedems @HofDemocrats @HofstraCR,-1,
10/16/2012,10:24:16-05:00,"@justin_g_r_iii Hillary has balls of steel. Bigger balls than  Obama , Biden,  Romeny , and Ryan put together.",2,
10/16/2012,10:24:40-05:00,@ericbolling where are these polls showing  Romney  ahead?  I never see them,-1,
10/16/2012,09:51:34-05:00,"BOOM! RT ""@BenLaBolt: Former  Romney  senior aide says Romney will say and  do anything to close a deal : http://t.co/1gySwD1A""",-1,
10/16/2012,09:27:53-05:00,FOX News is really struggling to defend  Romney  &amp; Ryan. Oh &amp; who is this chick? Did she really say that on National TV.  http://t.co/BCWbinV9,-1,
10/16/2012,09:51:31-05:00,Oh yeah? RT @fwwak:  Romney  I pray to baby Jesus you assault  Obama  with an AK-47 tonight ... God Bless,0,
10/16/2012,10:15:41-05:00,@CarolineManzo can u tell which candidate you support?  Romney  i hope:-),1,
10/16/2012,09:51:59-05:00," Romney  picking up steam, now has 1% of black vote #atleastitsnot0",-1,
10/16/2012,09:57:53-05:00,Patton Oswalt Gives  Romney  Debate Tips On Conan (VIDEO) http://t.co/5zBF4mwE,0,
10/16/2012,09:50:50-05:00,"Ann might try a mirror ""@BlumsLaw  Ann Romney   blames  media, negative ads for husband's image"" #stopit #thisishard #romneyshambles",-1,
012-10-16,09:11:46-05:00,"Dear misinformed public,  Romney  does not only  propose some minor tax cuts, but major cutting of government spending . # RomneyRyan 2012",-1,
10/16/2012,09:58:19-05:00, Mitt Romney 's jobs plan  math  is as bogus as his tax plan  math :  http://t.co/NodLSGjE,-1,
10/16/2012,09:44:26-05:00,reported  Mitt Romney 's  sponsored shit as spam on  facebook .,-1,
10/16/2012,10:14:16-05:00,"snoop doggs reasons not to vote for  romney : ""this muthafuckas  name  is mitt."" ""hes a morman but he aint got no hoes.""",-1,
10/16/2012,10:20:23-05:00,"GW Bush just reaffirmed his support for # Romney , saying that he would be a ""great president"". Because Bush is such an authority on that.",-1,
10/16/2012,10:06:42-05:00,George Bush said  Mitt Romney  will be a great president are people really respecting his opinion?,0,
10/16/2012,10:20:49-05:00,"I support  Romney , but this  Obama  poster is downright nasty. I guess the 11th hour campaigning has begun. http://t.co/czJkLrYm",2,
10/16/2012,10:09:27-05:00,"# Romney  may have been in other #townhalls, but never when 100% get to  ask questions and hear answers . #kingofcrazytown",-1,
10/16/2012,09:09:49-05:00,"Business Insider: ""Please explain why Bill Clinton is wrong"" on  Romney  / Ryan fraud: http://t.co/xkhSnzux",-1,
10/16/2012,10:27:36-05:00,Piers Morgan - Hillary's admission makes it a valid point for  Romney  to rip into  Obama  tonight during the debates for this debacle,2,
10/16/2012,10:16:40-05:00,Let Us  #Pray4Mitt  @ MittRomney  for the Debate tonight #RT this if You will Pray for  Mitt  .,1,
10/16/2012,10:00:17-05:00,Poll:  Romney   Opens Large Lead In Rural Swing Counties  http://t.co/DxO7WsQ4,1,
10/16/2012,09:14:23-05:00,Fantastic letter Tony Dungy wrote to President  Obama  &amp;  Mitt Romney  about the importance of Fatherhood to our country.RT http://t.co/8h2dfll9,0,
10/16/2012,09:58:35-05:00,FUN FACT:  Mitt Romney  would become the first man to be elected President after telling half the country to fuck themselves....Andy Borowitz,-1,
10/16/2012,09:49:34-05:00,"and yet main stream media repeats "" Romney  can't  connect and has a likeability problem """,1,
10/16/2012,09:37:44-05:00,no picks my teacher  mitt  look  like a alligator ,-1,
10/16/2012,09:55:04-05:00,We have 2 simplify  Romney 's argument &amp; not try 2 do what POTUS did at last debate. Bite size pieces w/ colorful charts please 2 make point.,-1,
10/16/2012,10:10:54-05:00,"More so than most politicians, I have NO idea how anyone believes anything  Romney  says.",-1,
10/16/2012,09:11:24-05:00,"In politics, you get what you deserve. If women don't vote, you get  Romney . Think it over. Vote or shut-up.",-1,
10/16/2012,10:18:31-05:00,"I'm not saying you're a liar, Gov  Romney , I just approve of ads saying so. Oh and ads that say your  a murderer . @ BarackObama  #PoliteDebate",-1,
10/16/2012,10:29:41-05:00,# Romney  Is Attacked by His Father's Longtime Aide http://t.co/ja9DK35h #p2 #election2012,-1,
10/16/2012,09:42:07-05:00,"I suspect the mainstream media of being bought off by big billionaires to skewer the polls and  fix the reporting . Romney  is ""rising"" too fast",-1,
10/16/2012,09:34:39-05:00,"s exactly. Frum urges Romney to show  empathy with the audience , the one thing he'll  struggle to do .",-1,
10/16/2012,09:49:28-05:00, Mitt ROmney ,0,
10/16/2012,10:17:03-05:00, Obama  and  Romney  Halloween Masks and the Zoo: Halloween masks of  Mitt Romney  and  Barack Obama  are flying off the... http://t.co/XBY2RAX0,2,
10/16/2012,10:06:39-05:00,I'm moving to Paris if  Romney  wins,-1,
10/16/2012,09:45:39-05:00, Mitt Romney 's  jobs plan math is as bogus as his tax plan math :  Washington Post fact-checker Glenn Kessler takes... http://t.co/6a3BOIhS,-1,
10/16/2012,09:57:53-05:00,"I don't think  Romney  will win it, but remarkable in 08 at this point,  Obama  was 10-15 points ahead in PA.",2,
10/16/2012,10:25:51-05:00," Mitt #Romney 's  plan  for a ""middle class tax cut"" would provide zero benefits to 73.9 percent of the middle class:  http://t.co/32MIW7Ku",-1,
10/16/2012,10:08:19-05:00,"When  Romney  mentions tonight the big  lie of the 716 Billion being stollen Out of Medicare , Obama better shoot that lie down!",0,
10/16/2012,10:28:20-05:00,What Kind of Man is  MITT ROMNEY  ??!!  This is who he REALLY Is !!  #tcot http://t.co/2c2AUTib,0,
10/16/2012,09:08:40-05:00,#ThingsToRemember: Romney has  not submitted relevant tax records . #WhereAreYourTaxRecords # Mitt ,-1,
10/16/2012,09:11:45-05:00, Mitt Rommney   aint pay no tax ,-1,
10/16/2012,09:59:59-05:00,"As I've been speculating, the secret to  Romney 's tax plan is that he's not all that  committed to the promised 20% cut . http://t.co/Kgn6x4J9",-1,
10/16/2012,09:24:32-05:00,": Awh yea @WashingtonDCTea:  Romney  goes on offense, forcing  Obama  to defend record http://t.co/flfzaKMK‚Äù",2,
10/16/2012,10:01:15-05:00,I look forward to  Mitt  crushing  Obama  over Clinton taking the fall over the Benghazi Terrorist Attack; while ... http://t.co/OXKAomsG,2,
10/16/2012,10:08:16-05:00,This is an impressive web experience:  Romney 's  $5 trillion tax plan . Details matter: http://t.co/YG2QsqPO,-1,
10/16/2012,09:21:20-05:00,Economist Steve Forbes:  Romney  Will Win via PRNewswire http://t.co/NZ4EQWBN,1,
10/16/2012,09:37:51-05:00,He should maintain his grace and let his persona come through respectfully...but challenge  Romney  on the facts and specifics.,0,
10/16/2012,09:56:27-05:00,"If @ MittRomney  is even half on his game as he was in the last debate, # Obama  doesn't stand a chance! Truth always wins! #tcot #Romney2012",2,
10/16/2012,10:20:53-05:00,I hope  Romney  mentions the fact that  Obama  failed to meet every promise he made at last election's townhall debate http://t.co/dsizAAwv ‚Ä¶,2,
10/16/2012,10:08:04-05:00,Missing from  Romney 's tax plan: Reality - Fortune (blog): Fortune (blog)Missing from  Romney 's  tax plan : RealityF... http://t.co/tmDxJwz5,-1,
10/16/2012,10:25:04-05:00,#LT and it's nothing against  Romney . I just feel like they should be paying more attention if they're trying to truly cater to their users,0,
10/16/2012,09:11:22-05:00,i see- there is no good choice for every issue on the table. That's what makes it difficult. Can't stand  Mitt - but trying to be an,-1,
10/16/2012,09:34:04-05:00,IF  MITT ROMNEY  WINS THIS WILL HAPPEN lol http://t.co/1BolhYj5,0,
10/16/2012,09:40:31-05:00, Mitt Romney   don't pay no tax ...,-1,
10/16/2012,09:48:36-05:00,RT @Archuleta2012: Why  Mitt Romney 's  12 million jobs math is rejected  by the fact checkers: http://t.co/qwBczcwM,-1,
10/16/2012,09:34:38-05:00,#Women #GOP  Mitt Romney  does not support your right to  get equal wages for equal work  &amp; that IS your economy &amp; also your retirement. NO MITT,-1,
10/16/2012,09:57:24-05:00,Im like really in love with  romney ,1,
10/16/2012,09:59:51-05:00,"If you think  Romney  is responsible for a company he left 12 yrs ago, but  Obama  isn't for past 4 yrs of the Economy, you're an idiot #Sensata",2,
10/16/2012,09:47:17-05:00,#itspartytimechumps -  Mitt Romney ,0,
10/16/2012,09:53:34-05:00, Romney  must feel on  debate  days like I did at SATs: just pray I can make up for math problems by acing the verbal.,-1,
10/16/2012,09:36:35-05:00,If  Romney  wins y'all gonn be popping kids out like crazy üë¶üëßüë∂üë∂üë¶üëßüë∂üëßüëßüë¶üë¶üë¶üëßüëßüëßüë∂üë∂üë∂,-1,
10/16/2012,10:00:10-05:00,"@SMShow Do NOT feel bad for Bush! If pigs fly and Romney wins, Bush will be celebrated by the GOP and Robme. Expect him 2 get awards!",-1,
10/16/2012,10:08:16-05:00," Mitt : ""we don't  have people dying for lack of health insurance .""  Mitt , talk to a healthcare professional, not GOP toadies and learn. We Do.",-1,
10/16/2012,10:07:33-05:00,"snbc .... Romney  is  not a STRONG debater ,  Romney  is  STRONG LIAR  !",-1,
10/16/2012,09:57:07-05:00,"Wow, if you're a woman who votes  Romney  you're a fucking idiot! It's like a Jew voting for Hitler.",-1,
10/16/2012,10:09:59-05:00,If  Romney  becomes president you can catch me living in Mexico. Fuck that.,-1,
